origin,destination,fromscore,toscore,difference,result,week
GBP,DET,31,24,7,W,17
ARZ,RAMS,44,6,38,W,17
KCC,SDC,37,27,10,W,17
NOS,ATL,32,38,-6,L,17
NYG,WAS,19,10,9,W,17
OAK,DEN,6,24,-18,L,17
SEA,SFO,25,23,2,W,17
BAL,CIN,10,27,-17,L,17
BUF,NYJ,10,30,-20,L,17
CAR,TBB,16,17,-1,L,17
CHI,MIN,10,38,-28,L,17
CLE,PIT,24,27,-3,L,17
DAL,PHI,13,27,-14,L,17
HOU,TEN,17,24,-7,L,17
JAC,IND,20,24,-4,L,17
NEP,MIA,35,14,21,W,17
DET,DAL,21,42,-21,L,16
DEN,KCC,10,33,-23,L,16
BAL,PIT,27,31,-4,L,16
CIN,HOU,10,12,-2,L,16
ARZ,SEA,34,31,3,W,16
SFO,RAMS,22,21,1,W,16
TBB,NOS,24,31,-7,L,16
IND,OAK,25,33,-8,L,16
ATL,CAR,33,16,17,W,16
MIA,BUF,34,31,3,W,16
MIN,GBP,25,38,-13,L,16
NYJ,NEP,3,41,-38,L,16
SDC,CLE,17,20,-3,L,16
TEN,JAC,17,38,-21,L,16
WAS,CHI,41,21,20,W,16
NYG,PHI,19,24,-5,L,16
CAR,WAS,26,15,11,W,15
TBB,DAL,20,26,-6,L,15
NEP,DEN,16,3,13,W,15
OAK,SDC,19,16,3,W,15
NOS,ARZ,48,41,7,W,15
SFO,ATL,13,41,-28,L,15
CLE,BUF,13,33,-20,L,15
DET,NYG,6,17,-11,L,15
GBP,CHI,30,27,3,W,15
IND,MIN,34,6,28,W,15
JAC,HOU,20,21,-1,L,15
PHI,BAL,26,27,-1,L,15
PIT,CIN,24,20,4,W,15
TEN,KCC,19,17,2,W,15
MIA,NYJ,34,13,21,W,15
RAMS,SEA,3,24,-21,L,15
BAL,NEP,23,30,-7,L,14
DAL,NYG,7,10,-3,L,14
ATL,RAMS,42,14,28,W,14
NOS,TBB,11,16,-5,L,14
SEA,GBP,10,38,-28,L,14
NYJ,SFO,23,17,6,W,14
ARZ,MIA,23,26,-3,L,14
CHI,DET,17,20,-3,L,14
CIN,CLE,23,10,13,W,14
DEN,TEN,10,13,-3,L,14
HOU,IND,22,17,5,W,14
MIN,JAC,25,16,9,W,14
PIT,BUF,27,20,7,W,14
SDC,CAR,16,28,-12,L,14
WAS,PHI,27,22,5,W,14
OAK,KCC,13,21,-8,L,14
IND,NYJ,41,10,31,W,13
CAR,SEA,7,40,-33,L,13
NYG,PIT,14,24,-10,L,13
TBB,SDC,28,21,7,W,13
WAS,ARZ,23,31,-8,L,13
BUF,OAK,24,38,-14,L,13
DEN,JAC,20,10,10,W,13
DET,NOS,28,13,15,W,13
HOU,GBP,13,21,-8,L,13
KCC,ATL,29,28,1,W,13
RAMS,NEP,10,26,-16,L,13
MIA,BAL,6,38,-32,L,13
PHI,CIN,14,32,-18,L,13
SFO,CHI,6,26,-20,L,13
DAL,MIN,17,15,2,W,13
GBP,PHI,27,13,14,W,12
KCC,DEN,30,27,3,W,12
CAR,OAK,32,35,-3,L,12
NEP,NYJ,22,17,5,W,12
SEA,TBB,5,14,-9,L,12
ARZ,ATL,19,38,-19,L,12
CIN,BAL,14,19,-5,L,12
JAC,BUF,21,28,-7,L,12
RAMS,NOS,21,49,-28,L,12
NYG,CLE,27,13,14,W,12
SDC,HOU,21,13,8,W,12
SFO,MIA,24,31,-7,L,12
TEN,CHI,27,21,6,W,12
