Sn No,name,company,type,,ABV,rank,Review,ratings,lng,lat,Address
1,Kentucky Brunch Brand Stout,Toppling Goliath Brewing Company,American Double , Imperial Stout , 12.00% ABV,4.74,105,568,-91.7970381,43.3082911,"310 college dr, decorah, ia 52101, usa"
2,Good Morning,Tree House Brewing Company,American Double , Imperial Stout , 8.40% ABV,4.72,204,"1,012",-72.2882333,42.0929308,"160 e hill rd, monson, ma 01057, usa"
3,King Julius,Tree House Brewing Company,American Double , Imperial IPA , 8.30% ABV,4.67,124,737,-72.2882333,42.0929308,"160 e hill rd, monson, ma 01057, usa"
4,Very Hazy,Tree House Brewing Company,American Double , Imperial IPA , 8.60% ABV,4.67,88,536,-72.2882333,42.0929308,"160 e hill rd, monson, ma 01057, usa"
5,ManBearPig,Voodoo Brewing Company,American Double , Imperial Stout , 14.10% ABV,4.66,58,201,-79.9099572,40.406603,"205 e 9th ave, homestead, pa 15120, usa"
6,Pliny The Younger,Russian River Brewing Company,American Double , Imperial IPA , 10.25% ABV,4.66,941,"3,025",-122.711642,38.441804,"725 4th st, santa rosa, ca 95404, usa"
7,Mornin' Delight,Toppling Goliath Brewing Company,American Double , Imperial Stout , 12.00% ABV,4.65,187,"1,081",-91.7970381,43.3082911,"310 college dr, decorah, ia 52101, usa"
8,Hunahpu's Imperial Stout - Double Barrel Aged,Cigar City Brewing,American Double , Imperial Stout , 11.00% ABV,4.65,131,"1,387",-82.5091911,27.959001,"3924 w spruce st, tampa, fl 33607, usa"
9,Heady Topper,The Alchemist,American Double , Imperial IPA , 8.00% ABV,4.65,"2,324","13,097",-72.7166371,44.4762604,"100 cottage club rd, stowe, vt 05672, usa"
10,Marshmallow Handjee (Bourbon Barrel Aged Vanilla Bean Dark Lord),3 Floyds Brewing Co.,Russian Imperial Stout , 15.00% ABV,,4.64,301,"1,461",-87.5168114,41.5355252,"9750 indiana pkwy, munster, in 46321, usa"
11,King JJJuliusss,Tree House Brewing Company,American Double , Imperial IPA , 6.80% ABV,4.64,73,374,-72.2882333,42.0929308,"160 e hill rd, monson, ma 01057, usa"
12,Dinner,Maine Beer Company,American Double , Imperial IPA , 10.20% ABV,4.63,229,"1,918",-70.121407,43.839144,"525 us-1, freeport, me 04032, usa"
13,Julius,Tree House Brewing Company,American IPA , 6.80% ABV,,4.62,515,"3,346",-72.2882333,42.0929308,"160 e hill rd, monson, ma 01057, usa"
14,Founders CBS Imperial Stout,Founders Brewing Company,American Double , Imperial Stout , 12.00% ABV,4.62,990,"4,289",-85.6741915,42.9583518,"235 grandville ave sw, grand rapids, mi 49503, usa"
15,Juice Machine,Tree House Brewing Company,American Double , Imperial IPA , 7.60% ABV,4.61,100,524,-72.2882333,42.0929308,"160 e hill rd, monson, ma 01057, usa"
16,Fundamental Observation,Bottle Logic Brewing,American Double , Imperial Stout , 5.80% ABV,4.61,140,739,-117.8597746,33.8495445,"1072 n armando st, anaheim, ca 92806, usa"
17,Barrel-Aged Abraxas,Perennial Artisan Ales,American Double , Imperial Stout , 7.00% ABV,4.61,119,"1,270",-90.2661378,38.5459371,"8125 michigan ave, st. louis, mo 63111, usa"
18,Trappist Westvleteren 12 (XII),Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),Quadrupel (Quad) , 10.20% ABV,,4.61,"1,848","6,232",2.7199924,50.8956974,"donkerstraat 12, 8640 vleteren, belgium"
19,Pliny The Elder,Russian River Brewing Company,American Double , Imperial IPA , 6.80% ABV,4.60,"3,660","14,233",-122.711642,38.441804,"725 4th st, santa rosa, ca 95404, usa"
20,Very Green,Tree House Brewing Company,American Double , Imperial IPA , 14.00% ABV,4.60,91,593,-72.2882333,42.0929308,"160 e hill rd, monson, ma 01057, usa"
21,Bourbon County Brand Coffee Stout,Goose Island Beer Co.,American Double , Imperial Stout , 7.20% ABV,4.57,"1,177","6,963",-87.6727462,41.8871017,"1800 w fulton st, chicago, il 60612, usa"
22,AleSmith Speedway Stout - Vietnamese Coffee (Bourbon Barrel Aged),AleSmith Brewing Company,American Double , Imperial Stout , 6.20% ABV,4.57,76,664,-117.1498484,32.888186,"9990 alesmith ct, san diego, ca 92126, usa"
23,King Sue,Toppling Goliath Brewing Company,American Double , Imperial IPA , 5.00% ABV,4.57,217,"1,717",-91.7970381,43.3082911,"310 college dr, decorah, ia 52101, usa"
24,JJJuliusss,Tree House Brewing Company,American IPA , 6.80% ABV,,4.57,54,341,-72.2882333,42.0929308,"160 e hill rd, monson, ma 01057, usa"
25,Morning Wood,Funky Buddha Brewery,American Porter , 12.00% ABV,,4.57,111,730,-80.1312729,26.1744468,"1201 ne 38th st, oakland park, fl 33334, usa"
26,Ann,Hill Farmstead Brewery,Saison , Farmhouse Ale , 6.70% ABV,4.56,80,344,-72.2631241,44.6068317,"403 hill rd, greensboro bend, vt 05842, usa"
27,Abner,Hill Farmstead Brewery,American Double , Imperial IPA , 6.60% ABV,4.56,378,"2,545",-72.2631241,44.6068317,"403 hill rd, greensboro bend, vt 05842, usa"
28,Founders KBS (Kentucky Breakfast Stout),Founders Brewing Company,American Double , Imperial Stout , 7.60% ABV,4.56,"3,071","12,097",-85.6741915,42.9583518,"235 grandville ave sw, grand rapids, mi 49503, usa"
30,Green,Tree House Brewing Company,American IPA , 7.60% ABV,,4.55,309,"2,159",-72.2882333,42.0929308,"160 e hill rd, monson, ma 01057, usa"
32,Double Dry Hopped PseudoSue (Citra),Toppling Goliath Brewing Company,American Pale Ale (APA) , 5.80% ABV,,4.55,72,405,-91.7970381,43.3082911,"310 college dr, decorah, ia 52101, usa"
33,Focal Banger,The Alchemist,American IPA , 7.00% ABV,,4.55,351,"2,868",-72.7166371,44.4762604,"100 cottage club rd, stowe, vt 05672, usa"
34,Snowed In - Bourbon Barrel Aged,Funky Buddha Brewery,American Double , Imperial Stout , 14.00% ABV,4.54,58,360,-80.1312729,26.1744468,"1201 ne 38th st, oakland park, fl 33334, usa"
35,Citra,Kern River Brewing Company,American Double , Imperial IPA , 15.00% ABV,4.54,396,"1,732",-118.4192969,35.7574666,"13415 sierra way, kernville, ca 93238, usa"
36,Doppelganger,Tree House Brewing Company,American Double , Imperial IPA , 13.50% ABV,4.54,131,944,-72.2882333,42.0929308,"160 e hill rd, monson, ma 01057, usa"
37,Sunday Brunch,Kane Brewing Company,American Porter , 9.20% ABV,,4.54,60,525,-74.0450475,40.2365892,"1750 bloomsbury ave, ocean township, nj 07712, usa"
38,Alter Ego,Tree House Brewing Company,American IPA , 6.80% ABV,,4.54,239,"1,696",-72.2882333,42.0929308,"160 e hill rd, monson, ma 01057, usa"
40,Parabola,Firestone Walker Brewing Co.,Russian Imperial Stout , 14.00% ABV,,4.53,"1,194","6,295",-120.187765,34.619958,"620 mcmurray rd, buellton, ca 93427, usa"
41,Double Dry Hopped Congress Street,Trillium Brewing Company,American IPA , 7.20% ABV,,4.53,114,964,-71.0480393,42.3498162,"369 congress st, boston, ma 02210, usa"
42,Society & Solitude #4,Hill Farmstead Brewery,American Double , Imperial IPA , 11.30% ABV,4.53,147,"1,104",-72.2631241,44.6068317,"403 hill rd, greensboro bend, vt 05842, usa"
43,Zombie Dust,3 Floyds Brewing Co.,American Pale Ale (APA) , 6.20% ABV,,4.52,"1,541","9,913",-87.5168114,41.5355252,"9750 indiana pkwy, munster, in 46321, usa"
44,Double Galaxy,Hill Farmstead Brewery,American Double , Imperial IPA , 12.00% ABV,4.52,207,"1,315",-72.2631241,44.6068317,"403 hill rd, greensboro bend, vt 05842, usa"
45,Swish,Bissell Brothers Brewing Co.,American Double , Imperial IPA , 6.20% ABV,4.52,156,"1,064",-70.290559,43.6514239,"4 thompsons point #108, portland, me 04102, usa"
46,Haze,Tree House Brewing Company,American Double , Imperial IPA , 5.00% ABV,4.52,248,"1,845",-72.2882333,42.0929308,"160 e hill rd, monson, ma 01057, usa"
