	country	all	year
1	Alabama	61	College
2	Alaska	7	College
3	Arizona	58	College
4	Arkansas	49	College
5	California	318	College
6	Colorado	60	College
7	Connecticut	38	College
8	Delaware	9	College
9	Florida	145	College
10	Georgia	94	College
11	Hawaii	17	College
12	Idaho	16	College
13	Illinois	145	College
14	Indiana	73	College
15	Iowa	60	College
16	Kansas	53	College
17	Kentucky	55	College
18	Louisiana	47	College
19	Maine	29	College
20	Maryland	51	College
21	Massachusetts	93	College
22	Michigan	90	College
23	Minnesota	90	College
24	Mississippi	37	College
25	Missouri	93	College
26	Montana	22	College
27	Nebraska	35	College
28	Nevada	16	College
29	New Hampshire	21	College
30	New Jersey	59	College
31	New Mexico	31	College
32	New York	246	College
33	North Carolina	125	College
34	North Dakota	20	College
35	Ohio	165	College
36	Oklahoma	50	College
37	Oregon	45	College
38	Pennsylvania	213	College
39	Rhode Island	11	College
40	South Carolina	67	College
41	South Dakota	19	College
42	Tennessee	86	College
43	Texas	173	College
44	Utah	28	College
45	Vermont	19	College
46	Virginia	89	College
47	Washington	65	College
48	West Virginia	41	College
49	Wisconsin	76	College
50	Wyoming	8	College
51	Alabama	42	Brewery
52	Alaska	37	Brewery
53	Arizona	99	Brewery
54	Arkansas	29	Brewery
55	California	842	Brewery
56	Colorado	367	Brewery
57	Connecticut	103	Brewery
58	Delaware	30	Brewery
59	Florida	293	Brewery
60	Georgia	79	Brewery
61	Hawaii	24	Brewery
62	Idaho	62	Brewery
63	Illinois	254	Brewery
64	Indiana	158	Brewery
65	Iowa	86	Brewery
66	Kansas	59	Brewery
67	Kentucky	49	Brewery
68	Louisiana	40	Brewery
69	Maine	101	Brewery
70	Maryland	105	Brewery
71	Massachusetts	179	Brewery
72	Michigan	309	Brewery
73	Minnesota	187	Brewery
74	Mississippi	18	Brewery
75	Missouri	95	Brewery
76	Montana	74	Brewery
77	Nebraska	43	Brewery
78	Nevada	48	Brewery
79	New Hampshire	77	Brewery
80	New Jersey	101	Brewery
81	New Mexico	81	Brewery
82	New York	401	Brewery
83	North Carolina	270	Brewery
84	North Dakota	19	Brewery
85	Ohio	242	Brewery
86	Oklahoma	37	Brewery
87	Oregon	265	Brewery
88	Pennsylvania	342	Brewery
89	Rhode Island	26	Brewery
90	South Carolina	74	Brewery
91	South Dakota	30	Brewery
92	Tennessee	99	Brewery
93	Texas	280	Brewery
94	Utah	33	Brewery
95	Vermont	76	Brewery
96	Virginia	254	Brewery
97	Washington	457	Brewery
98	West Virginia	19	Brewery
99	Wisconsin	199	Brewery
100	Wyoming	38	Brewery
